id_casa|url|precos|enderecos_apartamentos|metragems|quartos|banheiros|garagens|tipo_imovel|bairro|preco_por_metro
2627523517|https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-das-oliveiras-bairros-ribeirao-preto-com-garagem-60m2-venda-RS328900-id-2627523517/|328900.00|Rua Elysaldo Góes - Parque das Oliveiras, Ribeirão Preto - SP|60|2|2|1|apartamento|Parque Das Oliveiras|5481.67
2627640575|https://www.vivareal.com.br/imovel/apartamento-2-quartos-ribeirania-bairros-ribeirao-preto-com-garagem-56m2-venda-RS700000-id-2627640575/|700000.00|Avenida Leão XIII - Ribeirânia, Ribeirão Preto - SP|56|2|2|1|apartamento|Ribeirânia|12500.00
2627640576|https://www.vivareal.com.br/imovel/apartamento-1-quartos-ribeirania-bairros-ribeirao-preto-com-garagem-46m2-venda-RS410000-id-2627640576/|410000.00|Avenida Leão XIII - Ribeirânia, Ribeirão Preto - SP|46|1|2|1|apartamento|Ribeirânia|8913.04
2427706420|https://www.vivareal.com.br/imovel/apartamento-2-quartos-ribeirania-bairros-ribeirao-preto-com-garagem-47m2-venda-RS175000-id-2427706420/|175000.00|Avenida Leão XIII, 3900 - Ribeirânia, Ribeirão Preto - SP|47|2|1|1|apartamento|Ribeirânia|3723.40
2430552095|https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-ribeirao-preto-com-garagem-172m2-venda-RS749000-id-2430552095/|749000.00|Rua Rui Barbosa, 1096 - Centro, Ribeirão Preto - SP|172|4|5|2|apartamento|Centro|4354.65
2430691496|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-140m2-venda-RS1050000-id-2430691496/|1050000.00|Rua Severiano Amaro dos Santos, 671 - Jardim Botânico, Ribeirão Preto - SP|140|3|5|3|apartamento|Jardim Botânico|7500.00
2430691607|https://www.vivareal.com.br/imovel/apartamento-3-quartos-bosque-das-juritis-bairros-ribeirao-preto-com-garagem-160m2-venda-RS1350000-id-2430691607/|1350000.00|Rua Florêncio Rosário, 225 - Bosque das Juritis, Ribeirão Preto - SP|160|3|5|3|apartamento|Bosque Das Juritis|8437.50
2465622610|https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-127m2-venda-RS850000-id-2465622610/|850000.00|Rua Romeu Engracia de Faria, 300 - Nova Aliança, Ribeirão Preto - SP|127|3|4|2|apartamento|Nova Aliança|6692.91
2466450624|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-105m2-venda-RS550000-id-2466450624/|550000.00|Rua Noboru Nisiyama, 51 - Jardim Botânico, Ribeirão Preto - SP|105|3|3|2|apartamento|Jardim Botânico|5238.10
2484162720|https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-seixas-bairros-ribeirao-preto-com-garagem-76m2-venda-RS298900-id-2484162720/|298900.00|Rua Prudente de Morais, 1543 - Vila Seixas, Ribeirão Preto - SP|76|2|1|1|apartamento|Vila Seixas|3932.89
